"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,21,"BRB","Barbados",1,"Christ Church","BB.CC",NA,"","Parish","Parish","",""
2,21,"BRB","Barbados",2,"Saint Andrew","BB.AN",NA,"","Parish","Parish","",""
3,21,"BRB","Barbados",3,"Saint George","BB.GE",NA,"","Parish","Parish","",""
4,21,"BRB","Barbados",4,"Saint James","BB.JM",NA,"","Parish","Parish","",""
5,21,"BRB","Barbados",5,"Saint John","BB.JN",NA,"","Parish","Parish","",""
6,21,"BRB","Barbados",6,"Saint Joseph","BB.JS",NA,"","Parish","Parish","",""
7,21,"BRB","Barbados",7,"Saint Lucy","BB.LU",NA,"","Parish","Parish","",""
8,21,"BRB","Barbados",8,"Saint Michael","BB.MI",NA,"","Parish","Parish","",""
9,21,"BRB","Barbados",9,"Saint Peter","BB.PE",NA,"","Parish","Parish","",""
10,21,"BRB","Barbados",10,"Saint Philip","BB.PH",NA,"","Parish","Parish","",""
11,21,"BRB","Barbados",11,"Saint Thomas","BB.TH",NA,"","Parish","Parish","",""
